circ,M,G,combinations,p_std,time
ORILLA DEL MAULE,6,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.012353582604909612,9.355164051055908
SIERRA GORDA,6,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.0085097345452811,6.7582502365112305
NEHUENTUE,4,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.006179130365797672,7.767163276672363
CORRENTOSO,4,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.012664834321820608,7.061063528060913
AYACARA,4,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.007455218289177869,8.478131294250488
TIJERAL,7,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.008317325501914545,8.555068731307983
PICA,22,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.05421788756819729,1.970731258392334
COMBARBALA,39,2,"[[0, 1, 2, 3], [4, 5, 6, 7]]",0.019112901892958715,7.904639482498169
PENCAHUE,30,2,"[[0, 1, 2, 3], [4, 5, 6, 7]]",0.01889602120167335,6.771534204483032
PORTEZUELO,23,2,"[[0, 1, 2, 3], [4, 5, 6, 7]]",0.017532892095846738,5.194428443908691
CATILLO,10,1,"[[0, 1, 2, 3, 4, 5, 6, 7]]",0.011347746117868032,6.288224697113037
PLACILLA DE PENUELAS,58,5,"[[0], [1], [2], [3], [4, 5, 6, 7]]",0.019385335554085562,5.355913162231445
COIHUECO,54,4,"[[0, 1], [2], [3], [4, 5, 6, 7]]",0.01569321525515127,6.085418224334717
SANTA CRUZ,92,4,"[[0, 1], [2], [3], [4, 5, 6, 7]]",0.013802938725277407,6.019965648651123
MARIQUINA,50,4,"[[0, 1], [2], [3], [4, 5, 6, 7]]",0.019152481027107815,7.359557628631592
LOS LAGOS,52,4,"[[0, 1], [2], [3], [4, 5, 6, 7]]",0.018453835517341765,8.558048963546753
MACHALI,106,6,"[[0], [1], [2], [3], [4], [5, 6, 7]]",0.018297088913985748,4.541760444641113
ANDALIEN,174,5,"[[0, 1], [2], [3], [4], [5, 6, 7]]",0.015588601550542674,7.608169317245483
CAPITAN AVALOS,114,5,"[[0, 1], [2], [3], [4], [5, 6, 7]]",0.018453881361108607,4.431966304779053
ALTO HOSPICIO,179,5,"[[0], [1], [2], [3], [4, 5, 6, 7]]",0.01153430275649373,6.130542516708374
TALAGANTE,173,6,"[[0], [1], [2], [3], [4], [5, 6, 7]]",0.015720163725799784,4.874493360519409
QUILLOTA,210,7,"[[0], [1], [2], [3], [4], [5], [6, 7]]",0.01936944164879703,4.1391801834106445
SAN JOAQUIN,263,6,"[[0, 1], [2], [3], [4], [5], [6, 7]]",0.015918604466282103,6.793659448623657
LOS PAJARITOS,206,7,"[[0], [1], [2], [3], [4], [5], [6, 7]]",0.01460871931285311,4.354762554168701
LA CISTERNA,259,6,"[[0, 1], [2], [3], [4], [5], [6, 7]]",0.016214673235994268,7.412236452102661
ARICA,271,6,"[[0, 1], [2], [3], [4], [5], [6, 7]]",0.017466949136999674,7.3968493938446045
CHILLAN,444,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.019789767029050147,4.799084663391113
PROVIDENCIA,508,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.017597318621745475,5.632116794586182
APOQUINDO,485,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.015695031300781714,3.9610867500305176
TALCA,532,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.01637050885378403,3.9177331924438477
EL CENTRO,529,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.018144529669449128,3.3840179443359375
